"graph.class.parameter","vertex.entropy","degree.entropy","betweenness.entropy","clustering.coefficient.entropy","sd.vertex.entropy","sd.degree.entropy","sd.betweenness.entropy","sd.clustering.coefficient.entropy","d.degree","d.betweenness","d.clustering.coefficient","sd.degree","sd.betweenness","sd.clustering.coefficient","graph.class.name", "num.nodes"
0.01,0.936093076500235,2.743403349972,3.13723453214067,3.30276253416047,0.0373327258624363,0.175631437680589,0.0849775074175581,0.491574102548731,25.9104,64.8336,0.550789666615053,4.60493332337871,83.7942005242761,0.0450485415490847,"forest.fire", 50
0.02,0.93581821571981,2.7362402827925,3.12948859969826,3.31358976860543,0.0478342521414432,0.177068044658222,0.100128867665836,0.422833483725321,26.1984,61.9212,0.559514957260601,4.58146836065523,78.2572633766113,0.0501120637279038,"forest.fire", 50
0.03,0.937475784636318,2.72881340381734,3.12476161113502,3.34541733545776,0.0370186832428314,0.159490645296196,0.077522491232313,0.209217529330315,26.752,62.7188,0.569946890578185,4.66292359046668,82.296805475079,0.0432326921821097,"forest.fire", 50
0.04,0.935329359811219,2.72947258443728,3.12099095625195,3.33166837173814,0.0474022383566944,0.165596691660096,0.0880099318360082,0.304331069410243,26.9992,62.066,0.578350697568215,4.76636899513154,82.5664148873882,0.0501038871590597,"forest.fire", 50
0.05,0.936243478290038,2.7472304001376,3.1443042552598,3.35346330097985,0.043497933797127,0.181696782163248,0.0935471456030357,0.179827617505945,27.624,63.0908,0.592821532410719,4.77499812500045,79.9776827021255,0.050301694326859,"forest.fire", 50
0.06,0.937719484071254,2.72173825673386,3.1217584751971,3.35833835484864,0.0375777117673564,0.151615837823494,0.0859100890300669,0.149811546835787,28.0808,63.7132,0.6034208219989,4.7473086189547,84.7313529358516,0.0483810208886526,"forest.fire", 50
0.07,0.936332121177006,2.71830264786986,3.13212211164624,3.36075385574494,0.0488707268278379,0.153848810860614,0.079555449988795,0.157477993045776,28.376,62.4872,0.610891759761097,4.68785943543065,81.3763375777212,0.0498576690298026,"forest.fire", 50
0.08,0.938036070436377,2.70168729296042,3.13472671596653,3.33424602662837,0.035888626784998,0.18789175754844,0.0779929665657425,0.261471437923202,29.1248,63.8892,0.62985426762093,4.75621490361926,78.9178721329324,0.0478598088745819,"forest.fire", 50
0.09,0.939263662551147,2.70695414564984,3.13306309276408,3.33805225447492,0.0344793436904881,0.209762466782662,0.0797587186234073,0.30374805978023,29.4608,62.2664,0.631161306563259,4.69863847911124,77.8717201355064,0.0442331967408678,"forest.fire", 50
0.1,0.937371850095832,2.6859022181232,3.10946526793237,3.35457493203193,0.0469047297010512,0.194240353583582,0.0908878382126092,0.180401655148187,29.9776,62.8604,0.646048288202564,4.83479754564748,80.2620410723434,0.0464280849205751,"forest.fire", 50
0.11,0.937448172644042,2.70327883160868,3.13615933461997,3.36001312769905,0.0485186545314767,0.175449219969072,0.072792429837794,0.139877170434549,30.5632,63.818,0.658902148767487,4.79828261288049,83.4047473440155,0.0473679769328951,"forest.fire", 50
0.12,0.939375750734412,2.6980847506478,3.14081658475282,3.35629098824009,0.0440739818180849,0.217788119461006,0.0769474283774068,0.159026151490932,30.984,62.7352,0.666992122201832,4.77892558152121,79.2731776963001,0.0447167339400264,"forest.fire", 50
0.13,0.939439943999145,2.68558158827724,3.14458678978023,3.35183130912332,0.0342304555455974,0.224276657939268,0.0744526671806415,0.205785532924381,31.6464,62.506,0.684837149273956,4.79439059088451,78.8505102117661,0.047389300933944,"forest.fire", 50
0.14,0.940072529860873,2.64807345905422,3.1418879825307,3.36420695448142,0.037237030765474,0.2268958321013,0.0798200710158068,0.137900288923843,32.3352,61.6996,0.69629546610956,4.6489582491487,78.1105948131275,0.042851995780247,"forest.fire", 50
0.15,0.939425999795381,2.64178003957009,3.13285608204905,3.36619775692276,0.0402233215570165,0.241017099266157,0.0738813574917879,0.138154512849932,32.6128,63.8568,0.704953725588322,4.59647475882073,83.0823500853648,0.0457948460518675,"forest.fire", 50
0.16,0.940548589261722,2.61899711301641,3.13168177647583,3.36172536511042,0.0379803375968237,0.267456076671388,0.0918921231281687,0.120687244366435,33.4552,63.1696,0.720299903172775,4.43682057102263,78.8669936611743,0.0439875343081907,"forest.fire", 50
0.17,0.94142146407787,2.57347053535592,3.12559929583847,3.36297513677855,0.0363289398589586,0.295024901746508,0.0933684529635332,0.11985176652417,34.1328,63.6204,0.736391473099451,4.56356526897982,83.0821354809334,0.0431107991126822,"forest.fire", 50
0.18,0.941604116324033,2.55614757672868,3.1293722901975,3.36530932479004,0.0314822493062078,0.303702405353863,0.0888011801407561,0.122081535352928,34.5256,62.3712,0.740402967342621,4.40239032194994,80.0573977038295,0.0395387189862892,"forest.fire", 50
0.19,0.94160965953982,2.56816557734445,3.13264936683281,3.37254155429857,0.0406044918834604,0.339945480186869,0.075999643410983,0.117973659749935,35.5864,62.844,0.767711902517104,4.61843658747215,78.1121828269379,0.0398126989136555,"forest.fire", 50
0.2,0.941488587370143,2.54040098814844,3.1384204222706,3.35322971328687,0.0352328916666694,0.364410181007172,0.0816959420606045,0.160396384982063,35.8744,61.5752,0.773746258792544,4.36771905621119,75.9510113984387,0.0406252303918728,"forest.fire", 50
